scenario,start,duration_s,anchor_notes
S01,0,120,red jeep co-visible across all cams ~00:54; ~30 vehicles co-visible during window
S02,125,120,short bus co-visible across all cams ~02:38; ~50 vehicles co-visible during window
S03,195,130,travel bus co-visible across all cams ~03:47; ~17 vehicles co-visible during window
S04,447,127,dump truck co-visible across all cams ~07:56; ~28 vehicles co-visible during window
S05,210,120,powder blue hatchback co-visible across all cams ~04:01; ~30 vehicles co-visible during window
S06,120,120,yellow dump truck co-visible across all cams ~02:31; ~35 vehicles co-visible during window
S07,360,120,green charger co-visible across all cams ~06:26; ~50 vehicles co-visible during window
S08,80,120,yellow camaro co-visible across all cams ~01:51; ~35 vehicles co-visible during window
S09,378,120,red mini cooper co-visible across all cams ~06:47; ~35 vehicles co-visible during window
S10,20,120,rusty pickup co-visible across all cams ~00:20; ~40 vehicles co-visible during window
S11,23,120,grey sedan co-visible across all cams ~00:23; ~50 vehicles co-visible during window
S12,25,300,white SUV co-visible across all cams ~00:25; ~30 vehicles co-visible during window
S13,44,120,black pickup co-visible across all cams ~00:44; ~35 vehicles co-visible during window
S14,38,120,blue suv co-visible across all cams ~00:38; ~33 vehicles co-visible during window
S15,7,120,grey sedan co-visible across all cams ~00:07; ~65 vehicles co-visible during window
S16,1,120,black SUV with trailer co-visible across all cams ~00:01; ~23 vehicles co-visible during window
S17,10,120,white SUV co-visible across all cams ~00:10; ~40 vehicles co-visible during window
S18,7,240,red car co-visible across all cams ~00:07; ~20 vehicles co-visible during window
